1,massey,safety,explosion,sentence,say,coal,upper,branch,prosecutor,prison,fine,blankenships,violate,big,conspiracy,willfully,ceo,convict,restitution,misdemeanor,Blankenship
2,coal,mrs,clinton,pm,west,miner,say,trump,tomorrow,houston,williamson,industry,mingo,voter,county,building,campaign,plant,job,white,Copley
3,border,guard,say,republican,state,plant,troop,epa,teacher,rahall,power,emission,primary,win,new,team,rep,carbon,office,seat,Jenkins
4,sen,say,democrat,vote,republican,trump,yes,west,senate,gun,democratic,cavuto,senator,state,virginia,president,primary,tax,make,people,Manchin
5,trump,state,say,west,climate,republican,coal,bannon,attorney,virginia,primary,vote,rep,general,sen,democratic,democrat,seat,race,incumbent,Morrisey
6,article,timesmachine,digitize,colebrooke,text,available,detainee,death,view,medical,king,immigration,jail,baptism,strafford,wale,wedding,din,princess,queen,Newbrough
7,west,say,fox,candidate,primary,trump,sander,democratic,voter,party,senate,republican,virginia,campaign,percent,attorney,general,election,democrat,accord,Swearengin
8,brady,smith,jaguar,patriot,mcfadden,norwich,mother,quarterback,diller,say,receiver,game,stahl,friend,injury,stritch,billy,jacksonville,playoff,column,Willis
9,culpeper,delegate,county,army,school,speech,graduate,united,serve,gun,reform,honest,behalf,iraq,tour,republican,view,open,bear,virginia,Freitas
10,black,say,virginia,church,christian,lieutenant,party,chesapeake,boston,believe,ministry,yoga,setting,defect,school,view,republican,parent,birth,clarify,Jackson
11,say,clinton,trump,sen,democrat,republican,vote,campaign,state,democratic,president,senate,virginia,new,election,congress,authorization,war,cnn,email,Kaine
12,gillespie,virginia,say,county,trump,immigration,campaign,illegal,state,republican,police,immigrant,northam,prince,perriello,william,officer,monument,arrest,law,Stewart
13,graduate,newport,dollar,hampton,federal,university,liberty,government,nonprofit,trillion,today,degree,education,bear,parent,crabbers,devalue,forprofits,homeschool,humane,Waters
14,nobel,academy,woman,starboard,swedish,resignation,cricketer,honour,circulation,dean,institution,prize,award,newell,zuckerberg,king,actor,body,say,prestigious,Bible
15,trump,say,republican,sen,president,senate,vote,house,care,senator,conservative,campaign,people,texas,make,yes,health,democrat,gop,new,Cruz
16,reed,mccomb,say,wimberley,river,lou,flood,water,rain,sounes,ramos,houston,county,texas,miss,car,weather,wednesday,blanco,floodwaters,McNeil
17,rep,democrat,texas,republican,state,say,trump,race,primary,democratic,win,seat,veteran,sen,run,election,incumbent,campaign,senate,va,O'Rourke
