Don Blankenship,West_Virginia,1950-03-14,Stopover Kentucky,Coal magnate,https://i2.wp.com/woay.tv/wp-content/uploads/2017/05/GTY_don_blankenship_jt_160406_4x3_992.jpg?resize=735%2C400&ssl=1,r,Don,Blankenship,13,0,0,65,0
Bo Copley,West_Virginia,1900-01-01,Dingess West Virginia,Coal Miner,https://heavyeditorial.files.wordpress.com/2017/05/bo-copley-e1494012597984.jpg?quality=65&strip=all&w=780&strip=all,r,Bo,Copley,80,50,0,61,0
Evan Jenkins,West_Virginia,1960-09-12,Huntington West Virginia,U.S. House of Representatives,https://www.congress.gov/img/member/114_rp_wv_3_jenkins_evan.jpg,r,Evan,Jenkins,17,47,0,82,38
Joe Manchin,West_Virginia,1947-08-24,Farmington West Virginia,United States Senator,https://fi.wikipedia.org/wiki/Joe_Manchin#/media/File:Senator_Manchin.jpg,d,Joe,Manchin,0,68,0,64,54
Patrick Morrisey,West_Virginia,1967-12-21,Brooklyn New York City NY,West Virginia Attorney General since 2013,http://wvmetronews.com/wordpress/wp-content/uploads/2016/02/Patrick-Morrisey.jpg?x43308,r,Patrick,Morrisey,64,0,0,65,0
Jack Newbrough,West_Virginia,1900-01-01,U.S.,U.S. Navy veteran,http://s3.amazonaws.com/ogden_images/www.weirtondailytimes.com/images/2017/09/23190845/Newbrough-003-1100x825.jpg,r,Jack,Newbrough,0,86,71,27,7
Paula Jean Swearengin,West_Virginia,1973-01-01,Mullens West Virginia,Activist,https://cbbba9d899c5f8ae6108-e379174d4d25dcb78174c6cab0a88cea.ssl.cf1.rackcdn.com/1275564-l.jpg,d,Paula Jean,Swearengin,0,0,0,66,0
Tom Willis,West_Virginia,1900-01-01,U.S.,Businessman,https://api.ballotpedia.org/v3/thumbnail/200/300/crop/best/2C512069-7298-4BAC-B9F3-6BFECDC2FB57.jpeg,r,Tom,Willis,67,0,67,78,76
Nicholas Freitas,Virginia,1979-08-29,Chico California,Member of the Virginia House of Delegates,https://api.ballotpedia.org/v3/thumbnail/200/300/crop/best/Nick_Freitas.jpg,r,Nicholas,Freitas,0,0,32,65,10
E. W. Jackson,Virginia,1952-01-13,Chester Pennsylvania,Lawyer,http://www.standardnewswire.com/images/1248274804.jpg,r,E.W.,Jackson,0,0,0,58,0
Tim Kaine,Virginia,1958-02-26,Saint Paul Minnesota,United States Senator,https://upload.wikimedia.org/wikipedia/commons/1/1d/Tim_Kaine%2C_official_113th_Congress_photo_portrait.jpg,d,Tim,Kaine,61,71,0,66,59
Corey Stewart,Virginia,1968-08-01,Duluth Minnesota,Lawyer,http://www.pwcgov.org/government/bocs/PublishingImages/2012%20Official%20Portrait%20Chairman%20Stewart.jpg,r,Corey,Stewart,0,31,0,52,31
Matt Waters,Virginia,1900-01-01,Newport News Virginia,Director of Development at Students For Liberty,https://api.ballotpedia.org/v3/thumbnail/200/300/crop/best/Matt_Waters.jpg,o,Matt,Waters,0,0,0,82,0
Carl Bible,Texas,1900-01-01,Texas,Businessman,https://pbs.twimg.com/profile_images/928089633296023552/Vm-6G8IN_400x400.jpg,i,Carl,Bible,0,0,0,0,0
Ted Cruz,Texas,1970-12-22,Calgary Alberta Canada,United States Senator,https://upload.wikimedia.org/wikipedia/commons/8/87/Ted_Cruz%2C_official_portrait%2C_113th_Congress.jpg,r,Ted,Cruz,0,69,0,62,57
Bob McNeil,Texas,1949-01-23,Stuttgart Arkansas,Businessman,https://static1.squarespace.com/static/5987cd8617bffc6a2723b230/t/59b20ddff14aa1ef98ae1083/1508991634672/20170804+-+RAM+Portrait-Cropped-100dpi.JPG?format=300w,o,Bob,McNeil,0,0,0,0,0
Beto ORourke,Texas,1972-09-26,El Paso Texas,U.S. House of Representatives,https://upload.wikimedia.org/wikipedia/commons/a/ad/Beto_O%27Rourke%2C_Official_portrait%2C_113th_Congress.jpg,d,Beto,ORourke,0,0,0,74,67
