,id,last_name,word_1,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_2,word_20,word_3,word_4,word_5,word_6,word_7,word_8,word_9
0,1,Blankenship,massey,prison,fine,blankenships,violate,big,conspiracy,willfully,ceo,convict,restitution,safety,misdemeanor,explosion,sentence,say,coal,upper,branch,prosecutor
1,2,Copley,coal,houston,williamson,industry,mingo,voter,county,building,campaign,plant,job,mrs,white,clinton,pm,west,miner,say,trump,tomorrow
2,3,Jenkins,border,rahall,power,emission,primary,win,new,team,rep,carbon,office,guard,seat,say,republican,state,plant,troop,epa,teacher
3,4,Manchin,sen,gun,democratic,cavuto,senator,state,virginia,president,primary,tax,make,say,people,democrat,vote,republican,trump,yes,west,senate
4,5,Morrisey,trump,virginia,primary,vote,rep,general,sen,democratic,democrat,seat,race,state,incumbent,say,west,climate,republican,coal,bannon,attorney
5,6,Newbrough,article,medical,king,immigration,jail,baptism,strafford,wale,wedding,din,princess,timesmachine,queen,digitize,colebrooke,text,available,detainee,death,view
6,7,Swearengin,west,party,senate,republican,virginia,campaign,percent,attorney,general,election,democrat,say,accord,fox,candidate,primary,trump,sander,democratic,voter
7,8,Willis,brady,say,receiver,game,stahl,friend,injury,stritch,billy,jacksonville,playoff,smith,column,jaguar,patriot,mcfadden,norwich,mother,quarterback,diller
8,9,Freitas,culpeper,gun,reform,honest,behalf,iraq,tour,republican,view,open,bear,delegate,virginia,county,army,school,speech,graduate,united,serve
9,10,Jackson,black,believe,ministry,yoga,setting,defect,school,view,republican,parent,birth,say,clarify,virginia,church,christian,lieutenant,party,chesapeake,boston
10,11,Kaine,say,democratic,president,senate,virginia,new,election,congress,authorization,war,cnn,clinton,email,trump,sen,democrat,republican,vote,campaign,state
11,12,Stewart,gillespie,republican,police,immigrant,northam,prince,perriello,william,officer,monument,arrest,virginia,law,say,county,trump,immigration,campaign,illegal,state
12,13,Waters,graduate,trillion,today,degree,education,bear,parent,crabbers,devalue,forprofits,homeschool,newport,humane,dollar,hampton,federal,university,liberty,government,nonprofit
13,14,Bible,nobel,dean,institution,prize,award,newell,zuckerberg,king,actor,body,say,academy,prestigious,woman,starboard,swedish,resignation,cricketer,honour,circulation
14,15,Cruz,trump,senator,conservative,campaign,people,texas,make,yes,health,democrat,gop,say,new,republican,sen,president,senate,vote,house,care
15,16,McNeil,reed,sounes,ramos,houston,county,texas,miss,car,weather,wednesday,blanco,mccomb,floodwaters,say,wimberley,river,lou,flood,water,rain
16,17,O'Rourke,rep,democratic,win,seat,veteran,sen,run,election,incumbent,campaign,senate,democrat,va,texas,republican,state,say,trump,race,primary
